Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Training and prediction time (seconds)
Gradient Boosting Classifier,0.7225047303689688,0.30680189615257414,0.7873815249681709,0.441553290230455,0.8256435798336076,15.03
Logistic Regression,0.7315121412803532,0.3107491480390458,0.7610694581977648,0.441309162496924,0.8196313622060202,0.28
XGBoost Classifier,0.7202380952380952,0.30531723044975134,0.7903522421841844,0.44047619047619047,0.8261310572012157,0.59
Decision Tree Classifier,0.7039971617786187,0.2916819539808166,0.7872400622435988,0.42565396971087655,0.8061001304245048,0.81
Random Forest Classifier,0.8576750236518449,0.4685430463576159,0.1601358042155892,0.23869267264101213,0.7921033062557064,5.52
K-Nearest Neighbors,0.8571822768842636,0.44485981308411215,0.10100438534446174,0.16462992852201982,0.764205776246322,2.58
